
Segment Intensity Max Ch=1 Img=1
 ==================== 
Segment Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
255,,Segment,1,2,Image 1,1,1,100000000,510000000003,
255,,Segment,1,2,Image 1,2,1,100000000,510000000023,
255,,Segment,1,3,Image 1,2,1,100000000,510000000028,
255,,Segment,1,3,Image 1,3,1,100000000,510000000050,
255,,Segment,1,1,Image 1,2,1,100000000,510000000064,
255,,Segment,1,2,Image 1,2,1,100000000,510000000068,
255,,Segment,1,1,Image 1,2,1,100000000,510000000073,
255,,Segment,1,2,Image 1,2,1,100000000,510000000075,
255,,Segment,1,2,Image 1,3,1,100000000,510000000083,
255,,Segment,1,2,Image 1,3,1,100000000,510000000086,
255,,Segment,1,3,Image 1,3,1,100000000,510000000093,
255,,Segment,1,4,Image 1,3,1,100000000,510000000096,
255,,Segment,1,4,Image 1,4,1,100000000,510000000103,
255,,Segment,1,3,Image 1,4,1,100000000,510000000110,
255,,Segment,1,3,Image 1,2,1,100000000,510000000117,
255,,Segment,1,4,Image 1,2,1,100000000,510000000124,
255,,Segment,1,4,Image 1,3,1,100000000,510000000134,
255,,Segment,1,3,Image 1,3,1,100000000,510000000137,
255,,Segment,1,2,Image 1,3,1,100000000,510000000149,
255,,Segment,1,3,Image 1,3,1,100000000,510000000151,
255,,Segment,1,3,Image 1,4,1,100000000,510000000163,
255,,Segment,1,3,Image 1,4,1,100000000,510000000184,
255,,Segment,1,2,Image 1,3,1,100000000,510000000209,
255,,Segment,1,2,Image 1,1,1,100000001,510000000226,
255,,Segment,1,3,Image 1,1,1,100000001,510000000230,
255,,Segment,1,2,Image 1,2,1,100000001,510000000252,
255,,Segment,1,1,Image 1,1,1,100000001,510000000264,
255,,Segment,1,3,Image 1,1,1,100000001,510000000274,
255,,Segment,1,3,Image 1,2,1,100000001,510000000282,
255,,Segment,1,4,Image 1,3,1,100000001,510000000314,
255,,Segment,1,2,Image 1,2,1,100000001,510000000318,
255,,Segment,1,3,Image 1,2,1,100000001,510000000326,
255,,Segment,1,4,Image 1,2,1,100000001,510000000350,
255,,Segment,1,4,Image 1,3,1,100000001,510000000359,
255,,Segment,1,1,Image 1,1,1,100000001,510000000384,
255,,Segment,1,2,Image 1,1,1,100000001,510000000397,
255,,Segment,1,3,Image 1,2,1,100000001,510000000402,
255,,Segment,1,1,Image 1,1,1,100000001,510000000417,
255,,Segment,1,3,Image 1,3,1,100000001,510000000438,
255,,Segment,1,2,Image 1,2,1,100000001,510000000458,
255,,Segment,1,1,Image 1,1,1,100000002,510000000474,
255,,Segment,1,2,Image 1,1,1,100000002,510000000493,
255,,Segment,1,3,Image 1,1,1,100000002,510000000496,
255,,Segment,1,1,Image 1,1,1,100000002,510000000506,
255,,Segment,1,2,Image 1,1,1,100000002,510000000514,
255,,Segment,1,1,Image 1,1,1,100000002,510000000526,
255,,Segment,1,2,Image 1,1,1,100000002,510000000535,
255,,Segment,1,1,Image 1,1,1,100000002,510000000544,
255,,Segment,1,2,Image 1,1,1,100000002,510000000546,
255,,Segment,1,3,Image 1,1,1,100000002,510000000554,
255,,Segment,1,3,Image 1,2,1,100000002,510000000563,
255,,Segment,1,1,Image 1,1,1,100000002,510000000581,
255,,Segment,1,2,Image 1,2,1,100000002,510000000605,
255,,Segment,1,1,Image 1,1,1,100000002,510000000623,
255,,Segment,1,2,Image 1,1,1,100000002,510000000626,
255,,Segment,1,3,Image 1,2,1,100000002,510000000644,
255,,Segment,1,3,Image 1,2,1,100000002,510000000647,
255,,Segment,1,4,Image 1,2,1,100000002,510000000649,
255,,Segment,1,5,Image 1,2,1,100000002,510000000662,
255,,Segment,1,2,Image 1,2,1,100000002,510000000683,
255,,Segment,1,5,Image 1,3,1,100000002,510000000720,
255,,Segment,1,2,Image 1,2,1,100000002,510000000724,
255,,Segment,1,2,Image 1,2,1,100000002,510000000730,
255,,Segment,1,2,Image 1,2,1,100000002,510000000738,
255,,Segment,1,1,Image 1,1,1,100000002,510000000745,
255,,Segment,1,2,Image 1,1,1,100000002,510000000749,
255,,Segment,1,2,Image 1,2,1,100000002,510000000754,
255,,Segment,1,1,Image 1,1,1,100000003,510000000764,
255,,Segment,1,2,Image 1,1,1,100000003,510000000769,
