
Segment Branch Depth
 ==================== 
Segment Branch Depth,Unit,Category,Depth,Level,Time,FilamentID,ID,
3,,Segment,3,2,1,100000009,510000001510,
1,,Segment,1,1,1,100000009,510000001514,
1,,Segment,1,1,1,100000009,510000001533,
1,,Segment,1,1,1,100000010,510000001537,
2,,Segment,2,1,1,100000010,510000001541,
2,,Segment,2,2,1,100000010,510000001558,
2,,Segment,2,1,1,100000010,510000001575,
2,,Segment,2,2,1,100000010,510000001584,
2,,Segment,2,2,1,100000010,510000001609,
1,,Segment,1,1,1,100000010,510000001626,
2,,Segment,2,1,1,100000010,510000001636,
2,,Segment,2,2,1,100000010,510000001640,
3,,Segment,3,2,1,100000010,510000001649,
3,,Segment,3,3,1,100000010,510000001652,
2,,Segment,2,1,1,100000010,510000001659,
3,,Segment,3,1,1,100000010,510000001662,
3,,Segment,3,2,1,100000010,510000001672,
2,,Segment,2,1,1,100000011,510000001682,
2,,Segment,2,2,1,100000011,510000001692,
3,,Segment,3,3,1,100000011,510000001695,
2,,Segment,2,1,1,100000011,510000001716,
3,,Segment,3,2,1,100000011,510000001718,
3,,Segment,3,1,1,100000011,510000001719,
1,,Segment,1,1,1,100000011,510000001726,
1,,Segment,1,1,1,100000000,510000001736,
1,,Segment,1,1,1,100000000,510000001737,
1,,Segment,1,1,1,100000001,510000001738,
1,,Segment,1,1,1,100000002,510000001739,
2,,Segment,2,1,1,100000002,510000001740,
1,,Segment,1,1,1,100000002,510000001741,
2,,Segment,2,1,1,100000002,510000001742,
3,,Segment,3,1,1,100000002,510000001743,
0,,Segment,0,1,1,100000003,510000001744,
1,,Segment,1,2,1,100000003,510000001745,
0,,Segment,0,1,1,100000003,510000001746,
1,,Segment,1,1,1,100000004,510000001747,
1,,Segment,1,1,1,100000004,510000001748,
4,,Segment,4,3,1,100000004,510000001749,
1,,Segment,1,1,1,100000005,510000001750,
1,,Segment,1,1,1,100000005,510000001751,
1,,Segment,1,1,1,100000005,510000001752,
1,,Segment,1,1,1,100000006,510000001753,
2,,Segment,2,1,1,100000006,510000001754,
1,,Segment,1,1,1,100000007,510000001755,
1,,Segment,1,1,1,100000007,510000001756,
2,,Segment,2,1,1,100000007,510000001757,
1,,Segment,1,1,1,100000009,510000001758,
2,,Segment,2,1,1,100000009,510000001759,
1,,Segment,1,1,1,100000010,510000001760,
1,,Segment,1,1,1,100000010,510000001761,
1,,Segment,1,1,1,100000011,510000001762,
3,,Segment,3,2,1,100000011,510000001763,
1,,Segment,1,1,1,100000011,510000001764,
2,,Segment,2,2,1,100000011,510000001765,
